,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,
,,Аденовирусная инфекция,Аллергический ринит,Ангина,Ангионевротический отек,Аритмия,Артериальная гипертензия,Астма,Биполярное аффективное расстройство,Болезни суставов,Варикозное расширение вен,Ветряная оспа,Вирусный конъюнктивит,Гастрит,Гастроэнтерит,Геморрагический инсульт,Геморрой,Гепатит,Гепатоцеллюлярная карцинома,Герпес,Гипертиреоз,Гипертоническая болезнь,Гипотиреоз,Глаукома,Грибковые инфекции кожи,Грибковые инфекции мочевых путей,Грибок,Грипп,Депрессия,Дерматит,Диабет,Диарея,Дисбактериоз,Дифтерия,Заболевания щитовидной железы,Инсомния,Инсульт,Инфаркт миокарда,Инфекция мочевыводящих путей,Ишемическая болезнь сердца,Камни в почках,Катаракта,Коклюш,Колит,Конъюнктивит,Коронарная недостаточность,Корь,Краснуха,Лейкемия,Лептоспироз,Лимфома,Лихорадка денге,Малярия,Мастопатия,Мигрень,Микоз,Неврит,Нефрит,Нефропатия,Ожирение,ОРВИ,Остеоартрит,Остеомиелит,Остеопороз,Остеохондроз,Отит,Панкреатит,Паротит,Печеночная недостаточность,Пиелонефрит,Пневмония,Полиомиелит,Плеврит,Простуда,Псориаз,Рак,Ревматизм,Ревматоидный артрит,СДВГ,Сепсис,Сердечная недостаточность,Синусит,Скарлатина,Тиф,Токсоплазмоз,Туберкулез,Уретрит,Холера,Цереброваскулярная болезнь,Цирроз печени,Цистит,Шизофрения,Экзема,Эндометриоз,Энцефалит,Эпилепсия,Эхинококкоз,Язва желудка и двенадцатиперстной кишки,Язвенный колит,Аббревиатоз,Энтомозы,Блокада сердца,Агранулоцитоз,Кифоз,Болезнь Горхема,Кардиалгия,Анизакидоз,Аденоиды,Асцит,Бульбит,Ангидроз,Блефарит,Гиповитаминоз,Долихоколон,Аортит,Гемартроз,Популярность симптомов
1,Астигматизм,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2,Беспокойство и тревожность,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3
3,Блеск в глазах,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
4,Боли во время месячных кровотечений,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1
5,Боль в горле,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
6,Боль в груди,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,10
7,Боль в нижней части живота,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,1,,,,,,,,1,,,,,,,,,1,,,1,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,1,,,1,,,,,1,,,,,,,,,,1,,,1,,1,,,15
8,Боль в области почек,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
9,Боль в пояснице,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
10,Боль в средней части живота,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,1,1,,1,,,,,,,,,1,,,,,,1,,,1,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,1,,,,1,,1,,,1,,1,,,16
11,Боль в суставах,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,1,1,1,1,1,1,,,,,,,,,,1,,,1,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,1,14
12,Боль в ушах,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
13,Боль и жжение в области верхней части живота,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,1,,1,,,10
14,Боль и зуд в области заднего прохода,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
15,Боль при глотании,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,7
16,Боль при жевании,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
17,Боль при мочеиспускании,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,6
18,Быстрое или нерегулярное сердцебиение,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
19,Видимые венозные узелки на ногах,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
20,Воспаление глаз,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
21,Воспаление на коже,,,,1,,,,,,,,,,,,,,,1,1,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,1,,,,10
22,Газы и вздутие живота,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,2
23,Головная боль,,,,,1,1,,,,,1,,,,1,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,,,1,,,1,,,,,1,,1,,,,1,,,,1,,,,1,,1,,,1,,,,1,,,1,,,1,1,,,,1,,,,,1,1,,1,,,,,,,,,26
24,Головокружение,1,,1,1,,,,,,,1,,1,1,1,,1,,,,,,,,,,1,,,,,,1,,,1,1,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,1,,,,,1,,,1,,,,,,1,,,,,,,,1,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,22
25,Давление в ушах,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
26,Давление или дискомфорт в груди,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
27,Дефицит внимания,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4
28,Жевательная боль,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
29,Желтуха(пожелтение кожи),,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4
30,Жжение и зуд в области вен,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
31,Запор,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3
32,Затруднения со сном,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,,,,,1,,,1,,1,,,,5
33,Затрудненное дыхание,,,,1,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,1,1,,1,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,1,,1,,1,,,,,,,,,14
34,Зуд в горле и носу,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
35,Зуд на коже,,,,1,,,,,,,1,1,,,,1,,,1,1,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,,,1,,,1,1,,,,,,1,,,,,1,1,,,,14
36,Избыточный вес,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
37,Изжога,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,3
38,Изменения настроения,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,7
39,Кашель,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,1,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,1,,1,,,1,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,16
40,Кашель с мокротой,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
41,Кожные высыпания,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,1,,,,11
42,Красные высыпания с водянистыми пузырьками,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,7
43,Кровотечение из образований на коже,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,3
44,Кровотечение после дефекации,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,3
45,Кровь в моче,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,7
46,Лихорадка,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,1,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,1,,1,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,1,,,,,1,,14
47,Маниакальные эпизоды,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
48,Менструальные нарушения,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2
49,Мочекаменная колика,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
50,Мышечная боль,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,,,,,,,,1,1,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,10
